gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,charges_per_tenure_month,estimated_tenure_value,tenure_bucket,active_service_count,electronic_payment,actual_churn,predicted_churn,probability,error_type,borderline_probability
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,18.838775510204083,982.45,49-72,0,0,0,0,0.08024896881551827,correct,False
Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,16.67142857142857,415.8,13-24,0,0,0,0,0.07501122498897947,correct,False
Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,71.56078431372549,3526.65,49-72,0,0,0,0,0.42404734443283987,correct,True
Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,51.56875,872.8,13-24,2,0,0,0,0.35410393660277417,correct,False
Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,86.72045454545454,1963.5,13-24,2,1,1,1,0.7482101838948293,correct,False
Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,104.53846153846153,1329.25,13-24,3,0,1,1,0.8331871581431292,correct,False
Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,24.887209302325584,1079.3,25-48,0,1,0,0,0.04858505366448479,correct,False
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,80.14999999999999,268.35,0-6,2,1,1,1,0.9372156844544142,correct,False
Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,91.32962962962964,4862.7,49-72,2,1,0,1,0.724593248577469,false_positive,False
Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,24.2,24.2,0-6,0,0,0,1,0.6850138591230542,false_positive,False
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,20.33478260869565,1417.95,49-72,0,0,0,0,0.043361753060298026,correct,False
Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,23.058870967741935,1450.8,49-72,0,0,0,0,0.025816474554539393,correct,False
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,84.1,180.8,0-6,2,1,1,1,0.9371871577696126,correct,False
Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,97.08629032258065,5958.2,49-72,3,0,0,1,0.5477543202135576,false_positive,True
Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,42.575,89.9,0-6,0,0,1,1,0.6598336229441104,correct,False
Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1356.7,19.66231884057971,1373.1,49-72,0,0,0,0,0.013115308496226642,correct,False
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,74.5,74.5,0-6,0,1,1,1,0.9202557239717353,correct,False
Male,0,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,1715.65,55.343548387096774,1712.75,25-48,2,1,1,0,0.3582590394550439,false_negative,False
Male,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,19.656521739130433,1400.7,49-72,0,0,0,0,0.018254957469504382,correct,False
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,85.725,182.9,0-6,2,1,0,1,0.9403384086466637,false_positive,False
Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,72.9121212121212,2323.2000000000003,25-48,0,0,0,1,0.535899299209732,false_positive,True
Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,18.416666666666668,58.800000000000004,0-6,0,0,0,0,0.4985742303444247,correct,True
Male,0,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,65.4,2774.55,63.05795454545455,2877.6000000000004,25-48,3,1,0,0,0.11421083133831483,correct,False
Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,104.33,1101.0,7-12,6,1,1,1,0.752909572215371,correct,False
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.25,576.7,72.0875,602.0,7-12,0,1,0,1,0.8337731256359677,false_positive,False
Male,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,65.11875,533.2,7-12,3,1,0,1,0.5610741348802489,false_positive,True
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,20.907971014492755,1404.15,49-72,0,0,0,0,0.04220931606439669,correct,False
Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,76.4608695652174,1738.8,13-24,0,0,1,1,0.5886170580486849,correct,True
Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,25.722727272727273,1656.6000000000001,49-72,0,0,0,0,0.02295685197537177,correct,False
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,102.45,102.45,0-6,4,1,1,1,0.9293582222410398,correct,False
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,19.333333333333332,59.849999999999994,0-6,0,0,0,0,0.4011508208490957,correct,True
Female,0,No,Yes,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.0,286.8,57.36,255.0,0-6,1,0,0,1,0.5533917181133139,false_positive,True
Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,51.2,51.2,0-6,1,0,0,0,0.4738482252958929,correct,True
Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,79.35,698.85,7-12,1,0,1,1,0.7745956996734042,correct,False
Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.7,2188.5,60.791666666666664,2293.2000000000003,25-48,3,0,0,0,0.15559262975805077,correct,False
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),85.5,5696.6,83.77352941176471,5814.0,49-72,2,0,0,0,0.18296994680725703,correct,False
Female,0,Yes,Yes,35,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,40.9,1383.6,39.53142857142857,1431.5,25-48,2,0,0,0,0.165596541556256,correct,False
Male,0,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1205.05,20.084166666666665,1233.0,49-72,0,0,0,0,0.016179619732589065,correct,False
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,74.55,5430.65,75.42569444444445,5367.599999999999,49-72,4,0,0,0,0.023477273717997835,correct,False
Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,930.45,20.67666666666667,917.9999999999999,25-48,0,1,1,0,0.09770675369661666,false_negative,False
Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,87.77162162162162,3374.4,25-48,2,0,0,0,0.3632462295577258,correct,False
Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,50.050000000000004,354.90000000000003,7-12,1,0,0,0,0.299168128836969,correct,False
Female,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,37.825,202.8,0-6,1,0,1,1,0.5689705158615714,correct,True
Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,54.9,54.9,0-6,2,1,1,1,0.6701203095304388,correct,False
Female,0,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,272.15,68.0375,241.6,0-6,3,0,1,0,0.4898957051280636,false_negative,True
Male,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.55,878.35,48.797222222222224,891.9,13-24,1,0,1,0,0.4284418617288375,false_negative,True
Female,0,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,74.05,872.65,72.72083333333333,888.5999999999999,7-12,3,0,1,0,0.3779400001765242,false_negative,False
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.05,80.05,80.05,80.05,0-6,1,0,1,1,0.8661533500560848,correct,False
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1738.9,24.15138888888889,1800.0,49-72,0,0,0,0,0.01668445653756533,correct,False
Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.25,835.5,19.892857142857142,850.5,25-48,0,1,0,0,0.034338745819743076,correct,False
Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,71.3625,1826.3999999999999,13-24,0,1,1,1,0.7770005440867731,correct,False
Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),78.95,2034.25,78.24038461538461,2052.7000000000003,25-48,1,0,0,0,0.3635477000757782,correct,False
Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),73.0,5163.0,75.92647058823529,4964.0,49-72,4,0,0,0,0.11162333535496122,correct,False
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,19.008823529411764,338.29999999999995,13-24,0,0,0,0,0.09174082335014241,correct,False
Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,111.1,6555.2,111.10508474576271,6554.9,49-72,5,0,0,0,0.13715604823538405,correct,False
Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,68.98076923076923,967.2,13-24,0,0,1,1,0.7002349245463512,correct,False
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,42.45,21.225,40.9,0-6,0,0,0,0,0.4896071141046321,correct,True
Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,1335.2,19.928358208955224,1316.55,49-72,0,0,0,0,0.016683929141714935,correct,False
Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,337.9,19.876470588235293,340.85,13-24,0,0,0,0,0.09251844227846344,correct,False
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,78.66760563380281,5687.099999999999,49-72,5,0,0,0,0.04352180958626446,correct,False
Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95,100.29117647058824,1676.1999999999998,13-24,4,0,1,0,0.4131622613601272,false_negative,True
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,89.55,89.55,0-6,2,1,1,1,0.9410216787383241,correct,False
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,94.45,15.741666666666667,118.19999999999999,0-6,0,0,0,0,0.2026495435547121,correct,False
Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,116.92049180327868,6960.099999999999,49-72,5,1,0,1,0.6477030213526185,false_positive,False
Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.85,401.3,66.88333333333334,443.09999999999997,0-6,0,0,0,1,0.8787094494614602,false_positive,False
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,25.05,25.05,25.05,0-6,0,0,1,1,0.749534989363899,correct,False
Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.8,2110.15,100.48333333333333,2158.7999999999997,13-24,5,1,1,1,0.7100699853800432,correct,False
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,6640.7,110.67833333333333,6648.0,49-72,5,0,0,0,0.2125381955051537,correct,False
Female,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,86.375,1716.0,13-24,1,0,1,1,0.7795482893786168,correct,False
Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.9,2234.95,101.58863636363635,2109.8,13-24,3,0,0,1,0.5253919075624633,false_positive,True
Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,20.682499999999997,824.0,25-48,0,0,0,0,0.03225682996134272,correct,False
Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,74.36739130434783,1723.8500000000001,13-24,0,1,1,1,0.756734348741678,correct,False
Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,45.95,45.95,0-6,0,0,1,1,0.5644423120160795,correct,True
Male,0,No,No,46,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,38.25,1755.35,38.15978260869565,1759.5,25-48,3,0,0,0,0.04147075321842959,correct,False
Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.95,320.4,64.08,349.75,0-6,0,0,0,1,0.7581733473646143,false_positive,False
Male,1,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.0,1396.0,20.529411764705884,1360.0,49-72,0,0,0,0,0.026418512919737024,correct,False
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.2,25.2,25.2,25.2,0-6,0,1,1,1,0.8593214659459847,correct,False
Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.1,43.15,21.575,40.2,0-6,0,0,0,0,0.41200212626024446,correct,True
Female,1,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,109.38571428571429,1467.8999999999999,13-24,4,1,1,1,0.8751257621788293,correct,False
Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,740.0,74.0,700.0,7-12,0,1,1,1,0.7821496456437619,correct,False
Male,0,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,79.53461538461539,1017.9,13-24,1,0,0,1,0.690418268645882,false_positive,False
Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,3587.25,105.50735294117646,3733.2,25-48,5,0,1,1,0.6426409732073084,correct,False
Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45,990.85,55.047222222222224,1034.1000000000001,13-24,2,1,1,0,0.47175914139445596,false_negative,True
Male,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1301.1,18.325352112676054,1398.7,49-72,0,0,0,0,0.012731062092137412,correct,False
Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.5,7752.05,110.74357142857143,7735.0,49-72,5,1,0,0,0.2366290822746325,correct,False
Female,0,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.3,3410.6,65.58846153846153,3343.6,49-72,3,0,0,0,0.15600634029900434,correct,False
Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.25,7173.15,105.4875,7157.0,49-72,5,0,0,0,0.11241475983153892,correct,False
Male,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.6,717.3,18.876315789473683,744.8000000000001,25-48,0,1,0,0,0.138944166123807,correct,False
Female,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.5,1497.9,25.82586206896552,1421.0,49-72,0,0,0,0,0.07423896477649097,correct,False
Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.7,237.65,79.21666666666667,272.1,0-6,2,0,0,1,0.8801734232843204,false_positive,False
Male,0,Yes,No,14,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),48.8,664.4,47.457142857142856,683.1999999999999,13-24,1,0,0,0,0.30305983380803037,correct,False
Male,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.9,49.7,24.85,49.8,0-6,0,0,0,1,0.7855401087300979,false_positive,False
Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,24.8,24.8,0-6,0,1,1,1,0.8453587250024154,correct,False
Female,1,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),107.4,7748.75,107.62152777777777,7732.8,49-72,5,0,0,0,0.10224608016096556,correct,False
Male,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.3,123.65,41.21666666666667,129.89999999999998,0-6,0,1,1,1,0.7742573815048593,correct,False
Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,1029.35,79.18076923076923,1040.0,13-24,1,0,0,1,0.6485419209551143,false_positive,False
Male,1,Yes,Yes,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.1,7447.7,103.44027777777778,7495.2,49-72,5,0,0,0,0.10814552317422828,correct,False
Male,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,1185.95,20.44741379310345,1203.5,49-72,0,0,0,0,0.02077937721182912,correct,False
Male,1,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),95.5,6707.15,94.4669014084507,6780.5,49-72,4,0,0,0,0.12088539402190777,correct,False
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.35,76.35,76.35,76.35,0-6,1,1,1,1,0.8517652831699023,correct,False
Female,0,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),91.3,4965.0,91.94444444444444,4930.2,49-72,6,0,0,0,0.04696526062077952,correct,False
Male,0,No,Yes,39,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),45.05,1790.6,45.91282051282051,1756.9499999999998,25-48,3,0,0,0,0.11186288234709905,correct,False
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.6,70.6,70.6,70.6,0-6,0,1,1,1,0.8913784262935772,correct,False
